edad_categoria,nivel_educacion,rango_ingreso,tipo_donante,frecuencia_donacion,canal_donacion,participacion_eventos,voluntariado,años_como_donante,monto_ultima_donacion,confianza_financiera,confianza_mision,confianza_transparencia,confianza_liderazgo,satisfaccion_comunicacion,satisfaccion_impacto,satisfaccion_reconocimiento,satisfaccion_general,satisfaccion_transparencia,conexion_emocional,identificacion_mision,orgullo_donante,compromiso_futuro,percepcion_impacto,percepcion_eficacia,donara_proximo_año
36-45,Secundaria,<500k,Individual,Semestral,Otro,Nunca,No,6,81000,6,10,10,1,6,8,9,10,2,4,10,5,7,7,4,No
66+,Universitario,<500k,Individual,Primera vez,Web,Nunca,No,0,153000,4,10,1,10,5,2,5,10,9,6,6,5,9,6,2,No
56-65,Postgrado,500k-1M,Individual,Anual,Teletón anual,Nunca,No,7,80000,9,1,7,10,6,10,3,10,9,9,8,6,10,4,10,Sí
26-35,Secundaria,500k-1M,Individual,Primera vez,Transferencia,Nunca,No,0,34000,8,8,1,10,8,1,7,7,10,1,10,5,8,4,7,No
18-25,Técnico,1M-2M,Individual,Primera vez,Teletón anual,1 vez,Sí,0,19000,6,5,10,8,5,6,8,6,1,3,5,10,3,7,7,No
26-35,Postgrado,1M-2M,Individual,Primera vez,Teletón anual,1 vez,No,0,37000,5,10,3,3,2,10,7,6,8,7,7,10,1,5,5,No
18-25,Técnico,1M-2M,Individual,Anual,Teletón anual,Nunca,No,3,73000,10,4,10,2,7,7,6,8,9,7,9,10,2,7,9,No
18-25,Universitario,1M-2M,Individual,Primera vez,Web,2-3 veces,No,0,34000,5,7,1,10,3,6,4,4,9,3,8,7,9,6,10,No
46-55,Universitario,500k-1M,Individual,Anual,Transferencia,2-3 veces,No,6,73000,4,10,6,10,10,5,8,8,10,5,7,9,1,6,6,No
18-25,Técnico,1M-2M,Empresa,Anual,Web,Nunca,No,4,364000,8,5,4,4,5,10,7,8,10,5,7,9,9,5,10,No
36-45,Universitario,500k-1M,Empresa,Anual,Transferencia,Nunca,No,2,1128000,5,10,5,2,7,4,7,9,10,5,7,10,10,4,6,Sí
56-65,Técnico,500k-1M,Empresa,Anual,Web,1 vez,No,1,301000,9,6,5,10,8,9,10,7,5,8,10,5,1,7,10,Sí
18-25,Universitario,1M-2M,Individual,Trimestral,Teletón anual,1 vez,No,1,85000,7,2,6,10,6,10,5,9,4,4,7,10,4,8,8,No
56-65,Técnico,500k-1M,Individual,Primera vez,Presencial,2-3 veces,No,0,136000,7,10,1,4,5,10,10,10,9,5,7,9,7,3,8,No
26-35,Universitario,1M-2M,Individual,Anual,Teletón anual,2-3 veces,No,2,233000,10,1,10,9,8,6,7,3,1,5,7,10,6,7,7,Sí
26-35,Secundaria,1M-2M,Individual,Primera vez,Teletón anual,Nunca,No,0,55000,4,6,10,6,9,6,2,3,1,2,8,10,7,7,4,No
46-55,Técnico,2M-4M,Individual,Primera vez,Web,Nunca,No,0,10000,5,7,10,4,8,8,6,2,5,8,7,7,5,4,6,No
46-55,Postgrado,2M-4M,Individual,Anual,Teletón anual,Nunca,Sí,5,33000,7,10,9,10,10,8,9,6,10,9,6,7,10,10,1,No
56-65,Técnico,500k-1M,Individual,Anual,Teletón anual,Nunca,No,9,53000,10,10,6,2,5,1,6,9,9,9,6,7,7,7,7,No
46-55,Universitario,500k-1M,Individual,Trimestral,Web,Nunca,No,1,6000,6,1,8,4,8,1,4,8,8,5,4,5,8,7,7,No
56-65,Técnico,500k-1M,Empresa,Anual,Web,Nunca,No,3,502000,6,5,6,9,7,10,7,9,10,6,6,9,5,7,9,No
26-35,Universitario,500k-1M,Individual,Mensual,Web,Nunca,No,17,265000,9,1,10,6,8,1,5,3,1,9,9,6,10,4,7,Sí
26-35,Secundaria,1M-2M,Individual,Primera vez,Otro,1 vez,Sí,0,59000,5,8,2,10,9,5,7,4,8,10,9,7,5,8,4,No
46-55,Postgrado,1M-2M,Individual,Primera vez,Web,Nunca,No,0,79000,6,8,1,10,6,5,8,6,10,1,8,10,10,4,7,Sí
56-65,Técnico,1M-2M,Individual,Primera vez,Presencial,Nunca,No,0,257000,3,10,10,3,5,2,4,10,4,5,7,6,10,6,2,No
66+,Técnico,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,23000,10,2,10,1,7,7,5,9,5,7,6,6,1,7,7,No
36-45,Secundaria,<500k,Empresa,Anual,Web,Nunca,No,0,331000,5,10,9,1,3,9,9,5,9,4,9,9,3,10,1,No
36-45,Secundaria,500k-1M,Empresa,Semestral,Presencial,1 vez,Sí,14,252000,7,10,10,5,7,10,5,7,1,10,8,4,4,5,10,Sí
56-65,Universitario,<500k,Individual,Primera vez,Web,1 vez,No,0,100000,6,2,7,10,6,4,4,4,7,2,10,7,5,5,10,Sí
36-45,Técnico,2M-4M,Empresa,Mensual,Transferencia,4+,No,7,178000,10,2,3,9,5,10,5,1,9,8,7,1,10,10,4,No
66+,Universitario,500k-1M,Fundación,Trimestral,Teletón anual,Nunca,No,5,2537000,5,9,10,5,9,7,8,5,6,5,10,6,10,8,10,Sí
56-65,Técnico,<500k,Empresa,Anual,Teletón anual,Nunca,No,4,1008000,10,1,9,2,5,5,8,7,3,10,9,9,10,9,8,Sí
36-45,Técnico,<500k,Empresa,Primera vez,Web,Nunca,Sí,0,3571000,8,10,3,3,6,10,5,7,5,6,8,10,4,4,4,No
46-55,Universitario,1M-2M,Individual,Primera vez,Teletón anual,Nunca,No,0,44000,7,8,6,1,7,8,6,1,5,7,3,5,7,6,1,No
46-55,Universitario,1M-2M,Individual,Primera vez,Presencial,2-3 veces,No,0,40000,4,10,10,1,9,4,9,10,4,8,8,7,2,6,8,No
26-35,Secundaria,500k-1M,Individual,Primera vez,Teletón anual,1 vez,No,0,20000,7,3,2,5,6,9,4,6,10,4,6,5,10,5,5,No
56-65,Secundaria,<500k,Individual,Anual,Otro,2-3 veces,No,12,369000,6,8,5,10,9,5,3,8,10,8,7,7,9,4,10,No
36-45,Secundaria,500k-1M,Fundación,Primera vez,Otro,Nunca,No,0,551000,8,6,1,3,7,1,7,4,10,2,4,10,9,5,7,No
56-65,Universitario,500k-1M,Individual,Anual,Teletón anual,2-3 veces,No,3,32000,6,9,10,10,7,10,7,7,9,5,7,10,10,10,4,No
36-45,Universitario,1M-2M,Individual,Mensual,Teletón anual,Nunca,No,3,116000,7,5,3,10,5,9,6,8,6,8,8,8,1,7,10,No
56-65,Universitario,1M-2M,Empresa,Semestral,Presencial,2-3 veces,No,1,2897000,6,10,5,10,4,8,8,3,7,6,5,9,7,10,7,No
36-45,Universitario,500k-1M,Empresa,Mensual,Otro,Nunca,No,0,76000,5,10,7,10,7,9,9,3,7,8,5,6,10,8,1,No
18-25,Universitario,<500k,Fundación,Primera vez,Web,Nunca,Sí,0,2293000,8,1,7,7,5,10,2,7,4,10,7,6,4,5,5,No
56-65,Universitario,4M+,Individual,Anual,Teletón anual,Nunca,No,3,5000,8,10,1,3,9,1,6,10,10,4,9,9,10,10,3,No
18-25,Universitario,500k-1M,Individual,Anual,Web,2-3 veces,No,2,206000,9,10,5,1,8,10,10,7,10,9,8,6,6,8,5,Sí
36-45,Técnico,1M-2M,Individual,Primera vez,Transferencia,Nunca,No,0,177000,3,9,10,5,6,5,7,8,4,6,9,9,7,8,5,No
66+,Secundaria,<500k,Individual,Primera vez,Teletón anual,Nunca,No,0,56000,8,10,3,1,4,9,7,8,10,7,6,10,1,4,9,Sí
66+,Técnico,500k-1M,Individual,Semestral,Transferencia,2-3 veces,No,2,38000,10,4,10,5,8,7,9,6,1,10,7,7,3,9,8,Sí
46-55,Secundaria,<500k,Individual,Semestral,Teletón anual,Nunca,Sí,3,81000,7,10,10,5,5,8,7,10,8,10,6,9,9,9,9,Sí
46-55,Universitario,500k-1M,Empresa,Anual,Teletón anual,Nunca,No,1,3458000,10,6,9,6,5,10,9,10,4,10,5,1,10,8,10,Sí
36-45,Postgrado,2M-4M,Individual,Anual,Teletón anual,Nunca,No,0,779000,7,1,9,10,5,10,8,9,3,8,10,9,7,6,9,No
26-35,Secundaria,500k-1M,Individual,Anual,Teletón anual,Nunca,No,7,6000,5,10,8,10,7,9,8,6,8,5,10,4,4,7,9,Sí
36-45,Secundaria,<500k,Individual,Primera vez,Teletón anual,2-3 veces,No,0,128000,6,8,9,2,8,10,5,5,7,10,4,5,7,7,10,Sí
46-55,Técnico,<500k,Individual,Anual,Web,1 vez,No,6,17000,9,6,6,10,7,10,7,7,9,8,8,10,10,8,7,No
46-55,Postgrado,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,49000,5,10,1,8,5,6,5,7,10,6,6,9,10,7,6,Sí
56-65,Técnico,<500k,Empresa,Primera vez,Teletón anual,4+,No,0,310000,5,7,10,10,3,3,6,8,6,7,6,6,6,8,1,No
56-65,Universitario,<500k,Individual,Mensual,Teletón anual,Nunca,No,1,37000,8,9,1,10,8,10,5,10,10,10,7,6,1,6,10,No
18-25,Secundaria,1M-2M,Empresa,Anual,Otro,Nunca,No,1,1231000,7,1,8,10,5,10,5,7,4,8,8,5,10,5,8,No
36-45,Secundaria,500k-1M,Individual,Semestral,Web,Nunca,No,0,30000,8,1,8,8,7,5,6,10,4,10,9,3,7,7,10,No
18-25,Postgrado,500k-1M,Empresa,Anual,Web,Nunca,No,1,128000,8,10,5,2,6,1,5,9,8,9,8,5,10,7,7,Sí
36-45,Postgrado,2M-4M,Individual,Anual,Web,Nunca,No,2,49000,8,7,2,2,9,7,6,2,10,8,7,4,10,9,6,Sí
36-45,Secundaria,<500k,Individual,Primera vez,Otro,2-3 veces,No,0,13000,5,8,6,6,6,7,6,8,6,4,6,10,3,4,9,No
56-65,Postgrado,2M-4M,Individual,Primera vez,Teletón anual,1 vez,No,0,172000,7,3,10,10,6,1,7,10,5,5,8,8,8,8,2,Sí
36-45,Universitario,500k-1M,Empresa,Primera vez,Transferencia,Nunca,No,0,619000,5,10,1,6,7,6,8,7,10,7,7,9,10,9,6,Sí
26-35,Universitario,2M-4M,Individual,Trimestral,Transferencia,Nunca,No,1,6000,10,9,10,7,10,2,6,9,7,9,8,5,7,7,7,Sí
26-35,Técnico,1M-2M,Individual,Semestral,Web,1 vez,No,1,96000,6,8,1,10,9,10,10,6,10,10,7,3,6,7,7,No
46-55,Universitario,1M-2M,Fundación,Anual,Teletón anual,2-3 veces,No,4,2433000,9,3,10,2,7,5,9,6,8,8,8,8,2,6,10,Sí
46-55,Universitario,4M+,Empresa,Anual,Transferencia,2-3 veces,No,0,800000,7,10,3,10,7,5,8,9,9,8,7,8,4,6,6,No
26-35,Universitario,500k-1M,Individual,Mensual,Teletón anual,Nunca,No,9,34000,8,10,7,1,6,3,7,8,10,9,9,6,6,7,9,Sí
18-25,Secundaria,2M-4M,Individual,Primera vez,Web,1 vez,No,0,12000,5,10,1,2,4,10,7,1,10,5,5,7,10,9,9,No
46-55,Secundaria,500k-1M,Individual,Anual,Transferencia,Nunca,Sí,1,64000,5,10,6,2,6,6,9,7,8,10,7,10,1,7,6,No
18-25,Técnico,500k-1M,Individual,Anual,Teletón anual,Nunca,No,3,8000,4,6,10,5,5,7,9,6,2,1,9,10,10,5,8,No
56-65,Universitario,500k-1M,Individual,Semestral,Presencial,Nunca,No,0,52000,5,4,9,10,8,8,10,8,2,10,5,10,1,8,10,No
46-55,Técnico,500k-1M,Empresa,Mensual,Teletón anual,Nunca,No,5,54000,7,2,6,10,5,1,7,7,4,8,5,10,10,9,8,No
18-25,Universitario,<500k,Empresa,Primera vez,Presencial,Nunca,No,0,1245000,7,8,1,10,9,6,7,4,6,8,7,10,10,6,5,No
18-25,Postgrado,500k-1M,Individual,Trimestral,Web,Nunca,No,1,9000,9,7,10,6,9,10,10,3,7,10,4,5,10,10,9,No
66+,Secundaria,500k-1M,Individual,Trimestral,Teletón anual,Nunca,No,1,87000,6,9,8,4,7,8,6,8,5,9,5,10,1,9,5,Sí
36-45,Universitario,1M-2M,Individual,Primera vez,Teletón anual,1 vez,No,0,16000,5,10,10,1,6,10,5,10,3,6,8,6,6,4,3,Sí
36-45,Técnico,1M-2M,Fundación,Anual,Otro,Nunca,No,2,283000,5,10,4,10,6,10,7,10,10,10,7,3,8,6,10,No
56-65,Universitario,500k-1M,Fundación,Anual,Teletón anual,Nunca,No,1,7298000,8,3,6,6,8,10,9,4,8,5,10,10,1,8,4,Sí
66+,Secundaria,500k-1M,Individual,Mensual,Teletón anual,Nunca,No,5,29000,10,1,10,1,9,10,9,1,10,10,5,6,9,4,10,Sí
66+,Universitario,500k-1M,Empresa,Primera vez,Teletón anual,2-3 veces,No,0,3765000,8,10,1,10,5,9,6,6,8,4,6,5,5,7,4,No
46-55,Universitario,<500k,Individual,Trimestral,Web,Nunca,No,9,71000,9,3,2,10,4,10,4,10,10,6,8,7,5,4,10,Sí
36-45,Postgrado,<500k,Individual,Anual,Web,Nunca,No,1,20000,8,6,10,10,8,1,7,9,3,10,5,5,7,9,3,No
18-25,Universitario,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,7,47000,10,8,1,10,8,10,5,4,10,9,9,5,5,9,9,Sí
56-65,Universitario,500k-1M,Individual,Anual,Teletón anual,1 vez,No,5,8000,8,1,1,10,5,4,4,8,4,8,8,7,10,8,8,No
46-55,Universitario,2M-4M,Individual,Anual,Teletón anual,4+,No,1,107000,8,5,10,10,6,6,4,10,1,8,5,10,5,6,10,Sí
36-45,Universitario,500k-1M,Individual,Trimestral,Teletón anual,Nunca,No,5,416000,7,8,2,5,5,1,8,8,10,10,7,5,9,8,10,No
56-65,Universitario,500k-1M,Individual,Trimestral,Web,Nunca,No,3,1426000,5,7,10,10,6,10,10,1,9,5,8,10,8,6,6,No
26-35,Secundaria,500k-1M,Empresa,Trimestral,Transferencia,2-3 veces,Sí,13,385000,7,10,8,8,6,7,7,9,7,10,6,10,6,5,5,Sí
36-45,Postgrado,<500k,Individual,Primera vez,Teletón anual,Nunca,Sí,0,56000,6,4,1,10,5,10,6,2,7,10,4,10,5,6,6,No
18-25,Universitario,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,5,129000,8,10,4,8,6,9,9,7,6,3,8,10,10,9,8,Sí
36-45,Universitario,1M-2M,Individual,Primera vez,Teletón anual,Nunca,No,0,6000,10,4,6,10,4,10,3,4,10,1,10,8,9,6,5,No
18-25,Técnico,500k-1M,Individual,Anual,Otro,Nunca,No,14,303000,8,10,10,6,7,1,8,9,4,8,7,10,7,10,7,No
26-35,Universitario,500k-1M,Individual,Anual,Otro,Nunca,No,2,127000,9,10,9,1,7,10,7,8,3,7,10,10,8,9,8,No
26-35,Técnico,4M+,Individual,Anual,Presencial,Nunca,No,15,28000,7,8,7,10,6,10,8,3,10,10,6,3,7,9,5,Sí
46-55,Universitario,2M-4M,Individual,Anual,Teletón anual,1 vez,No,10,221000,7,1,10,4,9,10,6,3,6,5,8,9,5,4,10,Sí
46-55,Secundaria,1M-2M,Individual,Mensual,Teletón anual,2-3 veces,Sí,1,37000,5,10,5,10,8,10,5,1,10,9,9,10,4,7,7,Sí
46-55,Universitario,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,29000,5,7,2,9,3,10,6,8,5,4,6,7,9,4,6,Sí
66+,Postgrado,1M-2M,Individual,Semestral,Teletón anual,1 vez,No,24,88000,9,9,2,10,8,4,10,1,5,7,7,9,9,7,10,Sí
36-45,Secundaria,<500k,Individual,Anual,Web,Nunca,No,1,14000,7,7,3,10,8,10,9,4,9,10,9,4,9,6,6,Sí
26-35,Postgrado,500k-1M,Individual,Primera vez,Transferencia,Nunca,Sí,0,170000,8,3,10,7,5,1,5,9,5,4,10,6,6,6,5,No
56-65,Técnico,<500k,Individual,Primera vez,Presencial,Nunca,No,0,14000,7,10,1,9,3,5,3,8,10,8,7,2,7,8,5,No
26-35,Universitario,500k-1M,Empresa,Mensual,Presencial,2-3 veces,No,2,3846000,7,1,10,10,7,1,4,8,10,8,7,4,8,8,10,No
66+,Universitario,500k-1M,Individual,Trimestral,Teletón anual,1 vez,No,0,14000,10,9,4,1,7,4,10,10,4,7,7,10,8,9,8,No
18-25,Universitario,<500k,Individual,Trimestral,Transferencia,1 vez,Sí,1,17000,7,3,8,8,5,10,5,1,10,10,10,3,7,4,10,No
66+,Universitario,2M-4M,Empresa,Mensual,Teletón anual,1 vez,No,1,376000,9,5,10,1,4,10,6,8,1,3,8,7,10,7,7,No
18-25,Universitario,2M-4M,Individual,Primera vez,Teletón anual,Nunca,Sí,0,124000,5,7,4,10,6,5,9,1,10,10,5,6,8,8,5,No
56-65,Técnico,1M-2M,Individual,Anual,Transferencia,2-3 veces,No,1,24000,9,4,9,1,7,5,4,7,4,10,5,6,4,10,6,No
36-45,Técnico,500k-1M,Empresa,Semestral,Teletón anual,1 vez,No,9,1788000,9,9,7,1,6,1,10,10,4,10,4,2,10,4,10,No
66+,Universitario,2M-4M,Empresa,Anual,Web,2-3 veces,No,5,18000,8,10,4,10,7,5,6,4,7,10,8,7,7,7,7,No
18-25,Universitario,<500k,Fundación,Anual,Teletón anual,Nunca,No,0,636000,3,10,10,10,5,5,5,10,1,6,9,4,10,9,10,No
46-55,Universitario,1M-2M,Individual,Anual,Transferencia,Nunca,No,5,10000,7,9,2,9,6,6,7,10,10,8,7,10,5,7,7,No
66+,Universitario,<500k,Individual,Anual,Transferencia,Nunca,Sí,5,24000,10,4,10,6,8,9,6,3,1,10,7,7,10,6,3,Sí
36-45,Técnico,1M-2M,Individual,Anual,Teletón anual,Nunca,No,14,48000,9,7,9,2,6,5,8,10,9,8,5,7,10,4,10,Sí
46-55,Universitario,500k-1M,Individual,Primera vez,Presencial,Nunca,No,0,12000,7,10,1,7,3,7,5,5,10,2,7,8,2,4,7,No
46-55,Secundaria,2M-4M,Individual,Anual,Teletón anual,Nunca,No,1,13000,4,6,10,2,6,1,3,7,7,3,8,10,8,4,10,No
36-45,Universitario,2M-4M,Individual,Anual,Web,Nunca,No,12,630000,7,5,1,10,5,6,7,1,10,10,7,7,10,7,10,No
46-55,Secundaria,<500k,Empresa,Anual,Transferencia,Nunca,No,12,18822000,9,5,6,6,8,1,4,10,9,5,10,7,7,9,9,Sí
46-55,Técnico,500k-1M,Individual,Primera vez,Transferencia,Nunca,No,0,18000,7,2,2,5,7,6,6,5,10,6,5,8,1,4,7,No
56-65,Técnico,4M+,Individual,Semestral,Otro,Nunca,No,7,34000,10,1,10,10,4,4,5,7,4,3,8,10,8,8,8,No
18-25,Técnico,500k-1M,Individual,Primera vez,Teletón anual,2-3 veces,No,0,32000,6,10,1,4,8,4,5,8,4,8,8,4,4,8,2,No
26-35,Universitario,2M-4M,Individual,Anual,Transferencia,Nunca,Sí,3,30000,8,2,10,9,5,9,7,8,6,8,7,10,7,7,10,Sí
66+,Técnico,500k-1M,Individual,Semestral,Web,Nunca,No,1,105000,7,1,9,6,10,10,7,2,1,7,7,10,10,4,7,No
56-65,Técnico,500k-1M,Individual,Anual,Presencial,1 vez,Sí,1,156000,5,10,4,10,7,9,8,9,10,10,5,10,8,8,7,Sí
36-45,Técnico,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,35000,2,4,10,10,4,1,7,6,7,3,9,10,10,6,6,Sí
46-55,Técnico,<500k,Individual,Semestral,Transferencia,Nunca,No,1,11000,8,6,7,3,5,2,5,7,10,7,7,9,4,7,7,Sí
26-35,Técnico,1M-2M,Empresa,Anual,Web,Nunca,No,3,4712000,8,10,1,6,8,7,7,9,10,10,8,4,7,6,6,Sí
26-35,Secundaria,500k-1M,Empresa,Trimestral,Teletón anual,Nunca,No,13,326000,7,1,10,10,6,3,1,8,4,7,9,5,5,7,10,No
36-45,Universitario,500k-1M,Individual,Semestral,Web,2-3 veces,Sí,1,231000,4,1,9,9,7,1,7,7,5,10,6,10,2,8,10,Sí
36-45,Universitario,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,17,45000,9,10,1,10,10,10,6,2,10,8,7,10,3,10,7,Sí
46-55,Universitario,500k-1M,Empresa,Anual,Web,Nunca,No,23,26000,8,10,4,10,6,10,5,6,6,5,10,10,1,8,7,Sí
18-25,Universitario,2M-4M,Empresa,Primera vez,Presencial,Nunca,Sí,0,770000,7,1,3,10,6,7,7,6,1,10,4,10,8,9,8,No
66+,Técnico,4M+,Individual,Primera vez,Web,Nunca,No,0,399000,10,6,8,1,9,1,8,5,2,2,10,4,2,7,4,Sí
66+,Universitario,500k-1M,Individual,Anual,Web,1 vez,No,2,3000,3,10,10,4,8,9,6,9,1,9,6,5,10,7,10,Sí
46-55,Universitario,1M-2M,Individual,Anual,Web,Nunca,No,2,63000,6,1,10,9,4,7,5,3,9,9,5,10,10,8,8,No
36-45,Universitario,1M-2M,Empresa,Anual,Teletón anual,Nunca,Sí,2,57000,7,9,6,2,8,7,7,4,10,10,8,9,7,5,10,No
36-45,Secundaria,500k-1M,Fundación,Anual,Teletón anual,Nunca,No,1,2249000,10,9,4,7,5,4,4,8,4,8,10,8,1,8,7,No
56-65,Técnico,2M-4M,Individual,Primera vez,Web,Nunca,No,0,500000,3,7,8,1,9,10,5,3,10,7,3,5,3,3,8,No
46-55,Técnico,<500k,Empresa,Anual,Teletón anual,Nunca,No,1,974000,10,9,3,10,5,2,9,9,10,8,7,10,5,6,10,Sí
26-35,Técnico,<500k,Individual,Anual,Teletón anual,1 vez,Sí,6,33000,8,10,9,10,10,9,7,10,2,10,8,10,8,8,10,Sí
56-65,Universitario,2M-4M,Fundación,Semestral,Web,1 vez,No,0,9087000,7,6,9,6,10,3,3,7,4,1,8,7,10,10,10,No
56-65,Universitario,500k-1M,Individual,Primera vez,Teletón anual,2-3 veces,No,0,38000,6,3,9,10,4,4,2,10,3,2,7,5,6,9,8,No
66+,Universitario,1M-2M,Empresa,Anual,Teletón anual,2-3 veces,No,11,927000,7,4,10,1,7,7,7,7,6,6,6,9,10,7,9,Sí
46-55,Universitario,2M-4M,Individual,Mensual,Web,1 vez,Sí,2,71000,9,6,10,10,9,7,9,1,2,9,6,10,10,8,5,No
46-55,Universitario,<500k,Individual,Primera vez,Teletón anual,Nunca,Sí,0,26000,4,9,9,2,8,10,3,8,5,6,6,10,4,8,7,Sí
36-45,Universitario,2M-4M,Individual,Anual,Otro,1 vez,Sí,5,34000,8,6,9,5,8,10,8,2,5,10,5,10,6,5,7,No
66+,Postgrado,500k-1M,Fundación,Primera vez,Presencial,1 vez,No,0,6663000,6,1,10,1,9,1,9,2,4,7,6,6,1,7,7,No
56-65,Secundaria,500k-1M,Empresa,Semestral,Transferencia,1 vez,No,5,122000,6,10,3,10,7,8,10,6,9,7,7,7,7,6,9,No
18-25,Técnico,1M-2M,Empresa,Anual,Teletón anual,Nunca,No,2,2687000,10,9,3,1,6,10,8,10,8,4,7,8,10,7,3,Sí
18-25,Secundaria,2M-4M,Empresa,Anual,Transferencia,Nunca,Sí,1,1674000,8,6,2,9,6,10,8,9,10,9,8,8,8,6,8,Sí
36-45,Universitario,<500k,Individual,Anual,Presencial,1 vez,No,14,33000,9,9,7,3,9,9,3,6,10,2,4,9,9,8,8,Sí
56-65,Postgrado,500k-1M,Individual,Trimestral,Transferencia,1 vez,No,12,24000,10,10,1,3,8,10,10,8,10,7,7,9,7,8,7,Sí
66+,Técnico,1M-2M,Individual,Primera vez,Teletón anual,4+,No,0,218000,4,1,10,6,7,7,5,1,1,5,10,4,7,8,7,No
26-35,Postgrado,1M-2M,Individual,Primera vez,Web,Nunca,No,0,87000,9,8,4,7,8,9,4,8,9,8,5,9,4,7,3,Sí
46-55,Secundaria,1M-2M,Individual,Trimestral,Presencial,Nunca,No,3,68000,3,6,10,1,3,7,6,7,3,2,10,8,10,8,5,No
36-45,Postgrado,<500k,Individual,Anual,Web,Nunca,No,2,132000,6,9,5,4,8,1,10,6,4,8,8,5,1,10,9,No
66+,Técnico,500k-1M,Individual,Trimestral,Web,1 vez,No,1,36000,6,7,8,10,7,9,10,5,10,6,6,8,8,4,9,Sí
56-65,Secundaria,500k-1M,Individual,Anual,Web,Nunca,No,3,20000,8,8,10,10,10,1,7,8,4,6,5,9,9,10,7,No
56-65,Universitario,1M-2M,Individual,Trimestral,Web,Nunca,No,3,24000,8,5,10,7,4,5,9,10,2,9,8,8,3,7,6,Sí
36-45,Técnico,500k-1M,Individual,Anual,Teletón anual,4+,No,0,50000,7,1,7,7,10,2,7,5,7,10,10,7,5,8,7,Sí
36-45,Técnico,<500k,Fundación,Semestral,Web,Nunca,No,3,2091000,7,10,9,6,7,10,5,3,10,8,7,10,5,7,1,No
26-35,Técnico,2M-4M,Empresa,Trimestral,Teletón anual,1 vez,No,7,2161000,6,8,9,9,8,7,10,8,1,5,7,10,6,6,10,No
18-25,Universitario,<500k,Fundación,Anual,Web,Nunca,No,5,1248000,5,10,9,5,10,6,6,6,8,7,9,8,8,8,10,Sí
56-65,Universitario,4M+,Individual,Primera vez,Teletón anual,1 vez,No,0,14000,8,2,7,10,7,1,9,6,10,8,7,4,8,8,2,No
56-65,Técnico,1M-2M,Individual,Primera vez,Web,Nunca,No,0,27000,7,10,10,4,7,1,9,10,4,10,4,5,1,7,4,No
66+,Universitario,1M-2M,Empresa,Primera vez,Teletón anual,2-3 veces,No,0,507000,9,1,1,10,6,2,7,4,7,10,7,3,10,5,8,No
66+,Universitario,500k-1M,Individual,Primera vez,Transferencia,2-3 veces,No,0,27000,5,8,4,7,5,10,10,7,6,3,9,10,4,10,9,Sí
46-55,Técnico,<500k,Individual,Anual,Transferencia,Nunca,No,7,640000,9,6,8,10,7,8,10,5,6,8,7,10,10,10,6,No
46-55,Técnico,1M-2M,Individual,Anual,Teletón anual,Nunca,Sí,4,2000,7,10,9,5,6,9,7,7,10,10,3,10,1,9,3,Sí
66+,Secundaria,1M-2M,Individual,Anual,Teletón anual,Nunca,No,2,40000,9,10,10,1,7,9,5,9,3,10,8,9,2,7,7,Sí
56-65,Técnico,1M-2M,Individual,Anual,Teletón anual,1 vez,No,1,397000,9,2,10,10,2,9,3,7,7,2,7,10,8,6,5,No
26-35,Universitario,<500k,Individual,Semestral,Presencial,2-3 veces,No,10,58000,8,5,7,1,8,10,10,8,2,8,4,9,9,7,6,Sí
36-45,Técnico,1M-2M,Individual,Primera vez,Web,Nunca,No,0,123000,6,9,10,1,6,3,5,6,1,10,3,2,1,8,5,No
26-35,Universitario,1M-2M,Individual,Primera vez,Web,Nunca,No,0,56000,8,10,1,1,5,10,8,9,8,10,8,4,2,4,6,No
66+,Universitario,1M-2M,Individual,Primera vez,Teletón anual,Nunca,No,0,22000,7,3,10,10,6,10,5,1,8,9,5,4,10,4,6,No
46-55,Secundaria,1M-2M,Empresa,Anual,Web,1 vez,No,5,60000,6,10,10,10,4,1,10,10,4,7,6,9,4,8,7,No
26-35,Universitario,1M-2M,Individual,Primera vez,Presencial,2-3 veces,No,0,3000,4,10,9,10,10,1,5,10,6,4,6,7,10,7,7,No
46-55,Técnico,1M-2M,Individual,Anual,Presencial,Nunca,Sí,5,64000,7,8,9,6,7,1,5,7,7,10,6,10,4,6,5,No
46-55,Postgrado,<500k,Empresa,Anual,Web,Nunca,No,2,2168000,10,4,6,10,7,10,7,1,10,9,8,9,3,5,10,Sí
36-45,Universitario,500k-1M,Individual,Trimestral,Teletón anual,Nunca,No,3,20000,9,4,2,10,5,7,6,7,8,5,7,9,10,10,6,No
26-35,Universitario,<500k,Individual,Primera vez,Teletón anual,Nunca,No,0,19000,4,6,9,10,6,1,7,7,6,7,4,6,10,7,9,No
46-55,Universitario,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,2,27000,5,2,5,10,10,8,7,5,5,8,7,10,7,5,10,No
